id,state_id/id,name
base.county_us_1,base.state_us_41,Abbeville
base.county_us_2,base.state_us_19,Acadia Parish
base.county_us_3,base.state_us_47,Accomack
base.county_us_4,base.state_us_13,Ada
base.county_us_5,base.state_us_16,Adair
base.county_us_6,base.state_us_18,Adair
base.county_us_7,base.state_us_31,Adair
base.county_us_8,base.state_us_38,Adair
base.county_us_9,base.state_us_13,Adams
base.county_us_10,base.state_us_14,Adams
base.county_us_11,base.state_us_15,Adams
base.county_us_12,base.state_us_16,Adams
base.county_us_13,base.state_us_22,Adams
base.county_us_14,base.state_us_29,Adams
base.county_us_15,base.state_us_30,Adams
base.county_us_16,base.state_us_37,Adams
base.county_us_17,base.state_us_39,Adams
base.county_us_18,base.state_us_48,Adams
base.county_us_19,base.state_us_50,Adams
base.county_us_20,base.state_us_6,Adams
base.county_us_21,base.state_us_46,Addison
base.county_us_22,base.state_us_39,Adjuntas Municipio
base.county_us_23,base.state_us_39,Aguada Municipio
base.county_us_24,base.state_us_39,Aguadilla Municipio
base.county_us_25,base.state_us_39,Aguas Buenas Municipio
base.county_us_26,base.state_us_39,Aibonito Municipio
base.county_us_27,base.state_us_41,Aiken
base.county_us_28,base.state_us_36,Aitkin
base.county_us_29,base.state_us_10,Alachua
base.county_us_30,base.state_us_28,Alamance
base.county_us_31,base.state_us_5,Alameda
base.county_us_32,base.state_us_6,Alamosa
base.county_us_33,base.state_us_27,Albany
base.county_us_34,base.state_us_51,Albany
base.county_us_35,base.state_us_47,Albemarle
base.county_us_36,base.state_us_35,Alcona
base.county_us_37,base.state_us_37,Alcorn
base.county_us_38,base.state_us_2,Aleutians East Borough
base.county_us_39,base.state_us_2,Aleutians West
base.county_us_40,base.state_us_14,Alexander
base.county_us_41,base.state_us_28,Alexander
base.county_us_42,base.state_us_47,Alexandria City
base.county_us_43,base.state_us_31,Alfalfa
base.county_us_44,base.state_us_35,Alger
base.county_us_45,base.state_us_16,Allamakee
base.county_us_46,base.state_us_35,Allegan
base.county_us_47,base.state_us_27,Allegany
base.county_us_48,base.state_us_33,Allegany
base.county_us_49,base.state_us_28,Alleghany
base.county_us_50,base.state_us_47,Alleghany
base.county_us_51,base.state_us_39,Allegheny
base.county_us_52,base.state_us_15,Allen
